title,chart_week,performer,peak_pos,wks_on_chart,album_name,release_date,popularity,explicit,listeners,play_count,duration_s,genre
Who I Am With You,2014-09-13,Chris Young,48,19,A.M.,2013-09-16,61,False,30853,187238,191.573,country
Sing,2014-09-06,Ed Sheeran,13,20,x (Deluxe Edition),2014-06-21,72,False,592554,4264999,235.382,soft pop
Dare (La La La),2014-09-06,Shakira,53,11,Shakira. (Expanded Edition),2014-03-21,56,False,124549,808954,186.506,latin pop
Ain't It Fun,2014-08-23,Paramore,10,24,Paramore,2013-04-05,80,False,1143331,11377486,296.52,pop punk
Beachin',2014-08-23,Jake Owen,26,20,Days of Gold,2013-12-02,63,False,54938,278749,191.04,country
Birthday,2014-08-23,Katy Perry,17,18,PRISM (Deluxe),2013-10-18,66,False,517787,4000385,215.042,pop
Song About A Girl,2014-08-23,Eric Paslay,85,10,Eric Paslay,2014-01-01,42,False,13427,65554,224.96,country
Play It Again,2014-08-09,Luke Bryan,14,20,Crash My Party,2013-01-01,81,False,186372,1507641,226.866,country
Word Crimes,2014-08-09,"""Weird Al"" Yankovic",39,2,Mandatory Fun,2014-07-15,53,False,62567,302489,223.12,comedy
Whiskey In My Water,2014-08-09,Tyler Farr,52,18,Redneck Crazy,2013-09-27,55,False,22871,126966,188.146,country
You & I (Nobody In The World),2014-08-02,John Legend,66,2,Love In The Future (Expanded Edition),2013-08-30,61,False,120426,574468,252.653,soft pop
Let It Go,2014-07-26,Idina Menzel,5,33,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),2013-01-01,79,False,225530,2229132,223.84,musicals
Move That Doh,2014-07-26,Future,46,18,Rush Hour II,2001-01-01,4,True,4454,9665,243.106,rap
I Got A Car,2014-07-26,George Strait,89,7,Love Is Everything,2013-01-01,60,False,24127,148763,272.266,country
Chainsaw,2014-07-26,The Band Perry,86,9,Pioneer,2013-01-01,46,False,19286,106185,227.84,country
Calm Down,2014-07-19,Busta Rhymes,94,1,The Essential Collection,2011-09-05,6,True,1185,3572,256.44,east coast hip hop
Keep Them Kisses Comin',2014-07-19,Craig Campbell,72,10,Never Regret,2013-05-07,47,False,12670,64873,159.826,country
Automatic,2014-07-12,Miranda Lambert,35,19,Platinum,2014-06-02,61,False,51760,254736,247.826,country
Afire Love,2014-07-05,Ed Sheeran,37,1,x (Deluxe Edition),2014-06-21,58,False,212993,1426677,314.28,soft pop
Beat Of The Music,2014-07-05,Brett Eldredge,44,20,Bring You Back,2013-08-06,64,False,48583,291396,179.293,country
The Worst,2014-07-05,Jhene Aiko,43,20,Sail Out,2013-01-01,75,True,331397,3025177,254.493,r&b
Human,2014-07-05,Christina Perri,31,20,head or heart,2014-03-28,69,False,306933,1991295,250.706,soft pop
Hangover,2014-06-28,PSY,26,1,Live In Japan,1997-01-01,4,False,45834,173427,168.093,k-pop
Empire,2014-06-28,Shakira,58,12,Shakira. (Expanded Edition) [Spanish Version],2014-03-13,59,False,124946,1048546,239.333,latin pop
Bottoms Up,2014-06-21,Brantley Gilbert,20,25,Just As I Am,2014-01-01,53,False,79255,568094,221.226,country
Red Lights,2014-06-21,Tiesto,56,13,A Town Called Paradise,2014-06-13,71,False,287665,1785052,262.2,edm
Raging Fire,2014-06-21,Phillip Phillips,58,8,Behind The Light (Deluxe),2014-01-01,57,False,70979,380289,234.693,folk pop
Rewind,2014-06-14,Rascal Flatts,38,20,Rewind,2014-01-01,42,False,30693,166569,204.626,country
Cop Car,2014-06-14,Keith Urban,41,18,Fuse (Deluxe),2013-09-10,43,False,49511,452248,256.746,country
XO,2014-06-14,John Mayer,90,1,XO,2014-05-27,70,False,335270,2052717,213.626,singer-songwriter
Get Me Some Of That,2014-06-07,Thomas Rhett,41,20,It Goes Like This,2013-01-01,49,False,60421,411069,189.36,country
Give Me Back My Hometown,2014-06-07,Eric Church,36,20,The Outsiders,2014-01-01,59,False,33973,252299,252.493,country
Drink To That All Night,2014-05-31,Jerrod Niemann,34,20,High Noon,2014-03-21,61,False,40696,246757,224.813,country
Fever,2014-05-31,The Black Keys,77,3,Turn Blue,2014-05-09,69,False,477442,3280228,246.306,blues rock
Wake Up Lovin' You,2014-05-31,Craig Morgan,99,2,The Journey (Livin' Hits),2013-09-03,49,False,11725,55371,198.84,country
Hey Brother,2014-05-24,Avicii,16,23,True,2013-09-16,83,False,879203,6657500,255.093,edm
Animals,2014-05-24,Martin Garrix,21,34,Animals,2013-06-17,74,False,378248,2188498,304.228,edm
Invisible,2014-05-24,Hunter Hayes,44,12,Storyline,2014-05-06,59,False,27901,187568,276.4,country
Doin' What She Likes,2014-05-24,Blake Shelton,35,17,Based on a True Story... (Deluxe Edition),2013-03-26,55,False,33056,189505,222.613,country
Paranoid,2014-05-17,Ty Dolla $ign,29,20,Dream.Zone.Achieve,2014-04-01,14,True,4294,21978,204.5,trap soul
My Baby's Guns N' Roses,2014-05-17,Brantley Gilbert,87,1,Just As I Am,2014-01-01,26,False,4557,26286,213.893,country
19 You + Me,2014-05-17,Dan + Shay,42,18,Where It All Began,2014-04-01,59,False,51279,300838,217.406,country
Goodnight Kiss,2014-05-10,Randy Houser,52,16,How Country Feels,2013-01-22,61,False,19729,119780,206.8,country
I Hold On,2014-05-10,Dierks Bentley,40,19,RISER,2014-01-01,64,False,45864,276204,279.533,country
Do I Wanna Know?,2014-05-03,Arctic Monkeys,70,20,AM,2013-09-09,90,False,2507689,37599119,272.394,indie
Helluva Life,2014-05-03,Frankie Ballard,51,20,Sunshine & Whiskey,2014-04-03,53,False,27293,138908,231.693,country
Oceans (Where Feet May Fail),2014-05-03,Hillsong UNITED,83,13,Zion,2013-02-23,75,False,165391,1427238,535.991,worship
Slow Me Down,2014-05-03,Sara Evans,89,5,Slow Me Down,2014-03-10,39,False,13342,66539,196.16,country
When She Says Baby,2014-04-26,Jason Aldean,38,20,Night Train,2012-10-16,68,False,52324,350321,171.12,country
Lookin' For That Girl,2014-04-26,Tim McGraw,85,4,Sundown Heaven Town (Deluxe),2014-01-01,19,False,7120,41467,260.133,country
Roar,2014-04-19,Katy Perry,1,35,PRISM (Deluxe),2013-10-18,76,False,1203861,10789061,223.546,pop
Everything I Shouldn't Be Thinking About,2014-04-19,Thompson Square,69,12,Just Feels Good,2013-03-26,40,False,12302,60318,178.466,country
G.U.Y.,2014-04-12,Lady Gaga,76,1,ARTPOP,2013-11-11,73,True,589681,9648091,232.666,art pop
See You Tonight,2014-04-12,Scotty McCreery,52,18,See You Tonight,2013-01-01,58,False,32014,188864,226.32,country
Drink A Beer,2014-04-05,Luke Bryan,31,20,Crash My Party,2013-01-01,70,False,70996,423577,202.626,country
Compass,2014-04-05,Lady Antebellum,46,20,Golden (Deluxe Edition),2013-01-01,49,False,23052,157512,183.066,country
Can't Raise A Man,2014-04-05,K. Michelle,94,7,Rebellious Soul,2013-08-05,60,False,32388,184842,208.04,r&b
The Language,2014-03-22,Drake,51,20,Nothing Was The Same (Deluxe),2013-01-01,54,True,281950,1814394,224.04,rap
Adrenalina,2014-03-22,Wisin,94,1,Community Remixed,2005-09-05,0,False,33481,175857,423.133,reggaeton
Unconditionally,2014-03-22,Katy Perry,14,20,PRISM,2013-01-01,82,False,677496,5895950,228.878,pop
Chillin' It,2014-03-15,Cole Swindell,28,20,Cole Swindell,2014-02-18,69,False,58058,366342,196.746,country
Rap God,2014-03-15,Eminem,7,20,The Marshall Mathers LP2 (Deluxe),2013-11-05,78,True,804020,6374953,363.521,rap
The Heart Of Dixie,2014-03-15,Danielle Bradbery,58,13,Danielle Bradbery,2013-01-01,31,False,16862,102786,209.453,country
Friday Night,2014-03-15,Eric Paslay,47,20,Eric Paslay,2014-01-01,61,False,48853,287783,167.213,country
Do What U Want,2014-03-15,Lady Gaga,13,19,Civilize The Satanists,2010-01-01,3,False,337448,3224676,173.923,art pop
Whatever She's Got,2014-03-08,David Nail,35,21,I'm A Fire,2014-01-01,66,False,55901,351721,236.8,country
Worst Behavior,2014-03-08,Drake,89,11,Nothing Was The Same (Deluxe),2013-01-01,58,True,345118,2669154,270.2,rap
Stay The Night,2014-03-01,Zedd,18,22,Clarity (Deluxe),2014-01-01,70,False,51851,282734,217.346,edm
It Won't Stop,2014-03-01,Sevyn Streeter,30,20,Tomahawk Technique,2012-01-24,26,False,12833,70968,254.88,r&b
Sweet Annie,2014-02-22,Zac Brown Band,47,17,Uncaged,2012-07-06,62,False,45433,261082,278.693,country
Up All Night,2014-02-22,Jon Pardi,56,13,Write You A Song,2014-01-01,66,False,34473,184530,209.64,country
A Man Who Was Gonna Die Young,2014-02-15,Eric Church,89,1,The Outsiders,2014-01-01,43,False,7329,39296,193.786,country
Don't Let Me Be Lonely,2014-02-15,The Band Perry,59,16,Pioneer,2013-01-01,45,False,25092,143501,251.226,country
El Perdedor,2014-02-08,Enrique Iglesias,85,1,Celedón Sin Fronteras,2013-10-16,40,False,70437,387358,238.2,latin pop
We Were Us,2014-02-08,Keith Urban,26,20,We Were Us - Tribute to Keith Urban and Miranda Lambert,2013-10-07,4,False,28064,152923,191.164,country
Carolina,2014-02-08,Parmalee,36,19,Feels Like Carolina,2013-12-10,60,False,32888,194951,201.346,country
Radio,2014-02-08,Darius Rucker,65,15,True Believers,2013-01-01,50,False,20802,104396,189.053,country
Love More,2014-02-01,Chris Brown,23,26,The Mighty Death Pop,2012-08-14,22,True,73889,315811,3614.013,r&b
Applause,2014-02-01,Lady Gaga,4,23,ARTPOP,2013-11-11,82,False,1316927,16813755,212.333,art pop
I Luv This Sh*t,2014-02-01,August Alsina,48,20,Testimony (Deluxe),2014-01-01,30,False,3529,10555,266.96,r&b
Alone Together,2014-02-01,Fall Out Boy,71,8,Save Rock And Roll,2013-04-12,61,False,371990,3608791,203.413,emo
Survival,2014-01-25,Eminem,16,14,The Marshall Mathers LP2 (Deluxe),2013-11-05,64,True,305714,2165405,272.417,rap
Berzerk,2014-01-25,Eminem,3,20,The Marshall Mathers LP2 (Deluxe),2013-11-05,69,True,433190,3306130,238.746,rap
That's My Kind Of Night,2014-01-18,Luke Bryan,15,21,Crash My Party,2013-01-01,77,False,175844,1352662,190.186,country
Work B**ch!,2014-01-18,Britney Spears,12,13,Britney Jean (Deluxe Version),2013-11-30,73,True,1598,41379,247.96,pop
Perfume,2014-01-18,Britney Spears,76,6,Britney Jean (Deluxe Version),2013-11-30,52,False,144154,1930812,239.973,pop
Everybody's Got Somebody But Me,2014-01-18,Hunter Hayes,77,9,Hola Hola Eh Compilation,2012-09-11,12,False,10790,69861,168.733,country
Bound 2,2014-01-11,Kanye West,12,6,Yeezus,2013-06-18,85,True,1625021,25063476,229.146,rap
Little Drummer Boy,2014-01-04,Pentatonix,13,3,PTXmas (Deluxe Edition),2012-11-12,46,False,70327,271852,255.878,christmas
Let It Be,2014-01-04,Tessanne Chin,76,1,Best of Geto Boys & Scarface,2013-08-15,11,True,16,57,144.013,lovers rock
Saturday,2013-12-28,Rebecca Black,55,1,Saturday,2013-12-03,34,False,17565,58776,227.775,hyperpop
Bridge Over Troubled Water,2013-12-28,Tessanne Chin,64,1,Lucky Number,2001-07-01,10,False,108,796,276.093,lovers rock
Mine Would Be You,2013-12-28,Blake Shelton,28,20,Based on a True Story... (Deluxe Edition),2013-03-26,64,False,54902,300082,239.506,country
My Story,2013-12-28,R. Kelly,89,1,Codeine Cowboy,2011-02-22,22,True,13704,42004,202.872,r&b
Southern Girl,2013-12-21,Tim McGraw,42,20,Two Lanes Of Freedom,2013-01-01,32,False,34889,165335,255.48,country
All The Way Home,2013-12-21,Tamar Braxton,96,1,Love and War,2013-09-03,56,False,23086,202272,262.226,r&b
Days Of Gold,2013-12-21,Jake Owen,83,9,Days of Gold,2013-12-02,63,False,17623,85541,191.04,country
Type Of Way,2013-12-14,Rich Homie Quan,50,20,Still Goin In - Reloaded,2013-04-30,64,True,104434,515554,261.32,southern hip hop
Aw Naw,2013-12-14,Chris Young,45,20,A.M.,2013-09-16,66,False,48688,288489,188.706,country
Still Into You,2013-12-07,Paramore,24,20,Paramore,2013-04-05,85,False,1603453,20377740,216.013,pop punk
Only Time,2013-12-07,Enya,10,32,A Day Without Rain,2000-11-11,76,False,549110,3594066,218.546,new age
Tom Ford,2013-12-07,JAY-Z,39,20,Magna Carta... Holy Grail,2013-07-04,48,True,227451,1264004,189.013,hip hop
Last Christmas,2013-12-07,Ariana Grande,96,1,Christmas Kisses,2013-01-01,56,False,365618,1721638,203.653,pop
Livin' On A Prayer,2013-11-30,Bon Jovi,1,22,Slippery When Wet,1986-08-16,84,False,1817047,13759889,249.293,glam metal
Dope,2013-11-30,Lady Gaga,8,2,ARTPOP,2013-11-11,51,True,203362,2057761,221.546,art pop
Night Train,2013-11-30,Jason Aldean,26,20,Night Train,2012-10-16,71,False,61411,389728,232.306,country
Darte Un Beso,2013-11-30,Prince Royce,78,12,Soy el Mismo,2013-10-08,77,False,151363,982691,206.933,bachata
It Goes Like This,2013-11-23,Thomas Rhett,25,22,It Goes Like This,2013-01-01,53,False,73075,458529,187.813,country
All Kinds Of Kinds,2013-11-23,Miranda Lambert,89,5,Four The Record,2011-11-01,40,False,24224,105976,266.946,country
Parking Lot Party,2013-11-23,Lee Brice,62,20,Hard 2 Love,2012-04-24,58,False,35784,162368,207.893,country
Venus,2013-11-16,Lady Gaga,32,1,ARTPOP,2013-11-11,67,True,416301,6867579,233.72,art pop
Crooked Smile,2013-11-16,J. Cole,27,20,Acid Rain - REMIXES,2013-04-16,4,False,94168,454493,394.333,rap
Get Lucky,2013-11-16,Daft Punk,2,29,Get Lucky,2013-05-22,12,False,798897,6987786,211.034,french house
V.S.O.P.,2013-11-16,K. Michelle,89,4,Mozart: Nozze Di Figaro (Le) (The Marriage of Figaro),2004-05-08,64,False,20416,160581,244.56,r&b
Cups (Pitch Perfect's When I'm Gone),2013-11-09,Anna Kendrick,6,44,Cups (Pitch Perfect’s “When I’m Gone”),2013-01-01,68,False,1229,12297,126.88,children's music
Round Here,2013-11-09,Florida Georgia Line,28,20,Here's To The Good Times,2012-01-01,50,False,93660,566213,215.12,country
Love Somebody,2013-10-26,Maroon 5,10,21,Overexposed Track By Track,2012-01-01,66,False,355552,2123700,229.973,pop
Redneck Crazy,2013-10-26,Tyler Farr,29,20,Redneck Crazy,2013-09-27,58,False,37129,194153,216.04,country
Sirens,2013-10-26,Pearl Jam,76,1,Lightning Bolt,2013-01-01,69,False,240718,1754737,340.32,grunge
Make You Feel My Love,2013-10-26,Glee Cast,84,1,The Quarterback,2013-10-15,45,False,18533,132953,195.44,christmas
Outta My Head,2013-10-26,Craig Campbell,90,5,Never Regret,2013-05-07,46,False,14122,68923,212.96,country
Gone,2013-10-19,Kanye West,18,1,Diplomats Present - Sippin' On Sizzurp Volume 1: Getting Drunk On Music,2004-04-27,27,True,338345,2577317,119.64,rap
Walking On Air,2013-10-19,Katy Perry,34,1,PRISM,2013-01-01,51,False,236355,3078297,222.448,pop
Furthest Thing,2013-10-19,Drake,56,2,Nothing Was The Same (Deluxe),2013-01-01,62,True,341925,3071171,267.373,rap
From Time,2013-10-19,Drake,67,2,Falling July,2011-09-07,42,False,495026,5064004,278.595,rap
Little Bit Of Everything,2013-10-19,Keith Urban,33,20,Fuse (Deluxe),2013-09-10,31,False,32615,331800,205.706,country
Don't Ya,2013-10-19,Brett Eldredge,30,20,Bring You Back,2013-08-06,63,False,50776,285418,181.209,country
Wu-Tang Forever,2013-10-12,Drake,52,3,Nothing Was The Same (Deluxe),2013-01-01,58,True,320719,2561413,217.6,rap
Too Much,2013-10-12,Drake,64,1,Nothing Was The Same (Deluxe),2013-01-01,63,True,340211,2769233,261.866,rap
Own It,2013-10-12,Drake,78,1,Nothing Was The Same (Deluxe),2013-01-01,56,True,276862,1879696,252.053,rap
Tuscan Leather,2013-10-12,Drake,81,1,Nothing Was The Same (Deluxe),2013-01-01,59,True,312949,2419216,366.4,rap
Come Thru,2013-10-12,Drake,87,1,Nothing Was The Same (Deluxe),2013-01-01,63,True,279339,2445816,236.36,rap
Feds Watching,2013-10-12,2 Chainz,66,13,The Stoned Immaculate (Deluxe Edition),2012-06-01,3,True,56652,256806,225.76,southern hip hop
The Way,2013-10-05,Ariana Grande,9,26,GMB (Deluxe Edition),2012-11-27,23,True,731364,6193639,259.16,pop
A Light That Never Comes,2013-10-05,Linkin Park X Steve Aoki,65,1,One for All,1990-11-30,43,False,570,3531,294.72,electro house
Runnin' Outta Moonlight,2013-10-05,Randy Houser,24,20,How Country Feels,2013-01-22,70,False,77901,494919,193.773,country
All Over The Road,2013-10-05,Easton Corbin,51,20,All Over The Road,2012-01-01,68,False,66509,389152,163.066,country
You Make Me,2013-10-05,Avicii,85,1,True,2013-09-16,70,False,428377,2869398,233.346,edm
Could It Be,2013-10-05,Charlie Worsham,94,2,Rubberband,2013-08-16,31,False,11671,74743,204.88,christian country
Baby I,2013-09-28,Ariana Grande,21,3,Yours Truly,2013-01-01,64,False,386032,3831875,197.6,pop
See You Again,2013-09-28,Carrie Underwood,34,20,Blown Away,2012-05-01,54,False,63557,446189,246.453,country
Don't Drop That Thun Thun!,2013-09-28,The FiNATTiCZ,35,10,Don't Drop That Thun Thun (In The Style of Finatticz) - Single,2012-08-28,9,False,59,333,210.2,west coast hip hop
Vivir Mi Vida,2013-09-28,Marc Anthony,92,5,3.0,2013-07-23,80,False,226627,1296575,252.346,salsa
Almost Is Never Enough,2013-09-21,Ariana Grande,82,2,Yours Truly,2013-01-01,71,False,93602,613280,327.773,pop
Goodbye Town,2013-09-21,Lady Antebellum,80,11,Golden,2013-01-01,36,False,22163,120830,288.8,country
When I See This Bar,2013-09-21,Kenny Chesney,84,7,Life On A Rock,2013-04-30,46,False,13105,56763,361.173,country
F*ckwithmeyouknowigotit,2013-09-21,Jay Z,64,9,Don't Mind If I Do (feat. Dizzy Wright & Jarren Benton),2012-09-19,12,False,171943,801345,243.468,hip hop
Crash My Party,2013-09-14,Luke Bryan,18,21,Crash My Party,2013-01-01,71,False,85519,554063,234.76,country
Hail To The King,2013-09-14,Avenged Sevenfold,83,3,Hail to the King,2013-08-23,81,False,592404,6076880,305.906,metal
Blood On The Leaves,2013-09-14,Kanye West,89,2,Yeezus,2013-06-18,65,True,707906,7607970,359.8,rap
U.O.E.N.O.,2013-09-07,Rocko,20,20,All of Me (Deluxe Version),2012-02-24,4,False,10812,65851,77.106,southern hip hop
Wildfire,2013-09-07,John Mayer,85,3,Paradise Valley,2013-08-20,61,False,210109,1279812,85.84,singer-songwriter
Helluva Night,2013-09-07,Ludacris,96,1,Helluva Night,2013-01-01,28,True,6362,21250,200.386,southern hip hop
Your Side Of The Bed,2013-08-31,Little Big Town,96,1,Tornado,2013-01-01,47,False,15524,86543,221.68,country
Ho Hey,2013-08-24,The Lumineers,3,62,The Lumineers,2012-04-03,86,False,1486525,13382575,163.133,folk pop
Hopeless Wanderer,2013-08-24,Mumford,59,1,Babel (Deluxe Version),2012-09-21,55,False,365166,2457687,307.853,folk
My Songs Know What You Did In The Dark (Light Em Up),2013-08-17,Fall Out Boy,13,26,Save Rock And Roll,2013-04-12,79,False,852327,8188093,186.826,emo
Wagon Wheel,2013-08-17,Darius Rucker,15,26,True Believers,2013-01-01,84,False,294594,2353308,298.373,country
Hey Pretty Girl,2013-08-17,Kip Moore,41,20,Up All Night,2012-01-01,61,False,54578,258052,215.92,country
Anywhere With You,2013-08-17,Jake Owen,46,20,Barefoot Blue Jean Night,2011-08-26,60,False,65798,294814,209.586,country
Jump Right In,2013-08-17,Zac Brown Band,53,15,Uncaged,2012-07-06,63,False,59009,306037,180.813,country
DONE.,2013-08-10,The Band Perry,43,20,Pioneer,2013-01-01,42,False,54218,302079,205.266,country
Play Hard,2013-08-10,David Guetta,64,9,Lollipop,2008-01-01,16,False,38441,335529,224.586,edm
Beat This Summer,2013-08-10,Brad Paisley,46,20,Wheelhouse,2013-04-09,48,False,35828,172211,281.453,country
Ooh La La,2013-08-03,Britney Spears,54,5,"Ooh La La (from ""The Smurfs 2"")",2013-06-17,55,False,42551,559706,257.493,pop
People Like Us,2013-08-03,Kelly Clarkson,65,10,People Like Us,2013-05-10,42,False,68718,625709,258.906,christmas
Lego House,2013-07-27,Ed Sheeran,42,16,+,2011-09-09,76,False,660804,5550846,185.093,soft pop
Picasso Baby,2013-07-27,JAY-Z,91,1,Magna Carta... Holy Grail,2013-07-04,40,True,144826,627944,245.786,hip hop
Black Skinhead,2013-07-27,Kanye West,69,4,Yeezus,2013-06-18,75,True,1203241,15025680,188.013,rap
Crown,2013-07-27,JAY-Z,100,1,Magna Carta... Holy Grail,2013-07-04,39,True,109666,468173,274.053,hip hop
Started From The Bottom,2013-07-20,Drake,6,22,Nothing Was The Same (Deluxe),2013-01-01,68,True,667387,5055504,174.12,rap
We Own It (Fast & Furious),2013-07-20,2 Chainz,16,7,Fast & Furious 6,2013-01-01,66,False,256568,1597906,227.893,southern hip hop
Harlem Shake,2013-07-13,Baauer,1,20,Harlem Shake,2013-02-12,58,False,280824,1142212,196.664,edm trap
Alive,2013-07-13,Krewella,32,20,Play Hard EP,2012-06-18,55,False,196797,1456649,290.76,edm
New Slaves,2013-07-13,Kanye West,56,2,Yeezus,2013-06-18,68,True,781708,9423556,256.093,rap
Downtown,2013-07-06,Lady Antebellum,29,20,Golden,2013-01-01,64,False,62032,314059,195.866,country
Maybe It Was Memphis,2013-07-06,Danielle Bradbery,92,2,Greatest Hits,1997-06-02,37,False,896,10015,239.626,country
I Can't Tell You Why,2013-07-06,The Swon Brothers,99,1,Songpoet,2006-02-01,11,False,46,177,246.013,christian country
Who I Am,2013-06-29,Danielle Bradbery,78,1,12 Odd Future Songs,2011-10-03,56,True,839,9296,369.386,country
Like Jesus Does,2013-06-29,Eric Church,59,17,Chief,2011-01-01,61,False,42256,203795,198.733,country
I Got You,2013-06-29,Jack Johnson,88,1,From Here To Now To You,2013-01-01,70,False,247222,1140048,179.346,surf rock
Please Remember Me,2013-06-29,Danielle Bradbery,91,1,Use Your Illusion I,1991-09-17,82,False,226,1656,283.733,country
Mama's Broken Heart,2013-06-22,Miranda Lambert,20,20,Four The Record,2011-11-01,71,False,174195,1185095,177.773,country
Pirate Flag,2013-06-22,Kenny Chesney,46,18,Life On A Rock,2013-04-30,60,False,42057,200954,225.253,country
Can't Shake You,2013-06-22,Gloriana,83,4,A Thousand Miles Left Behind,2012-07-27,43,False,18242,103245,266.973,canzone napoletana
Wit Me,2013-06-15,T.I.,80,2,Wit Me (feat. Lil Wayne) - Single,2013-05-21,13,False,1036,3766,305.133,southern hip hop
Grandpa (Tell Me 'Bout The Good Old Days),2013-06-15,Danielle Bradbery,89,1,Rockin' With The Rhythm,1985-10-30,65,False,97,718,254.64,country
Daylight,2013-06-08,Maroon 5,7,25,Overexposed Track By Track,2012-01-01,77,False,465283,2954280,225.066,pop
Sure Be Cool If You Did,2013-06-08,Blake Shelton,24,20,Based on a True Story... (Deluxe Edition),2013-03-26,61,False,76814,456823,215.72,country
1994,2013-06-08,Jason Aldean,52,11,Night Train,2012-10-16,56,False,23506,120602,242.68,country
Give It All We Got Tonight,2013-06-01,George Strait,43,20,Love Is Everything,2013-01-01,66,False,39391,228287,251.333,country
If I Didn't Have You,2013-06-01,Thompson Square,49,20,Just Feels Good,2013-03-26,47,False,21381,114106,202.906,country
I Drive Your Truck,2013-06-01,Lee Brice,47,20,Hard 2 Love,2012-04-24,63,False,57100,279365,234.84,country
R.I.P.,2013-05-25,Young Jeezy,58,14,Don't Be S.A.F.E.,2013-01-01,46,True,35387,116012,281.28,southern hip hop
I Will Wait,2013-05-18,Mumford,12,39,Babel (Deluxe Version),2012-09-21,54,False,949685,7675622,276.72,folk
Sexy People (The Fiat Song),2013-05-18,Arianna,97,1,Sexy People (The Fiat Song) (feat. Pitbull),2013-02-01,32,False,11681,37097,208.666,pop
I Can Take It From There,2013-05-11,Chris Young,63,12,Neon,2011-07-11,49,False,27647,120827,158.293,country
Two Black Cadillacs,2013-05-11,Carrie Underwood,41,20,Blown Away,2012-05-01,60,False,93396,612056,297.946,country
Little Talks,2013-05-04,Of Monsters,20,48,My Head Is An Animal,2012-01-01,84,False,16,55,266.6,folk pop
Neva End,2013-05-04,Future,52,20,Pluto 3D,2012-11-27,55,True,34423,137911,261.706,rap
Accidental Racist,2013-04-27,Brad Paisley,77,1,Swizz Beatz Presents G.H.E.T.T.O. Stories,2002-12-10,22,True,1141,2590,306.573,country
One Of Those Nights,2013-04-27,Tim McGraw,32,20,Two Lanes Of Freedom,2013-01-01,25,False,15762,74110,236.52,country
Just Keep Breathing,2013-04-27,WE the Kings,92,1,Somewhere Somehow,2013-01-01,40,False,17671,104196,245.511,pop punk
Changed,2013-04-27,Rascal Flatts,73,8,Changed,2012-01-01,27,False,17872,69376,261.8,country
Catch My Breath,2013-04-20,Kelly Clarkson,19,24,Catch My Breath,2012-10-15,54,False,149617,1165321,251.506,christmas
Madness,2013-04-20,Muse,45,29,The 2nd Law,2012-09-24,72,False,792643,7745954,281.04,alternative rock
Gangnam Style,2013-04-20,PSY,2,31,Gangnam Style (강남스타일),2012-01-01,78,False,484055,3768539,219.493,k-pop
One More Night,2013-04-20,Maroon 5,1,42,Overexposed Track By Track,2012-01-01,83,False,1158186,9088598,219.546,pop
Whiskey,2013-04-20,Jana Kramer,94,2,Jana Kramer,2012-06-01,49,False,20069,116655,215.906,country
Girl On Fire,2013-04-13,Alicia Keys,11,30,This Girl Is On Fire (Alicia Keys Featuring Nicki Minaj Cover),2012-10-01,28,False,628677,3171269,200.075,r&b
Home,2013-04-13,Phillip Phillips,6,40,The World From The Side Of The Moon,2012-01-01,74,False,465938,3071131,210.173,folk pop
I'm Different,2013-04-13,2 Chainz,27,20,Based On A T.R.U. Story (Deluxe),2012-01-01,48,True,170178,728683,207.04,southern hip hop
The Phoenix,2013-04-13,Fall Out Boy,80,1,Save Rock And Roll,2013-04-12,75,False,513361,5574759,244.96,emo
Tornado,2013-04-06,Little Big Town,51,20,Tornado,2012-01-01,46,False,41251,217049,212.32,country
Stubborn Love,2013-04-06,The Lumineers,70,15,The Lumineers,2012-04-03,81,False,730486,5989125,279.0,folk pop
The Only Way I Know,2013-04-06,Jason Aldean,40,20,Night Train,2012-10-16,60,False,7930,43618,193.186,country
Better Dig Two,2013-03-30,The Band Perry,28,20,Pioneer,2013-01-01,61,False,84693,477284,194.68,country
Don't Judge Me,2013-03-30,Chris Brown,67,20,Fortune (Expanded Edition),2012-07-03,70,False,98754,639493,240.173,r&b
So Many Girls,2013-03-30,DJ Drama,90,1,Flockaveli,2010-10-01,83,True,1372,5112,263.773,southern hip hop
Love Sosa,2013-03-30,Chief Keef,56,14,Finally Rich,2012-01-01,81,True,916263,11858237,246.213,chicago drill
Buzzkill,2013-03-30,Luke Bryan,74,2,Spring Break...Here To Party,2013-01-01,43,False,18430,90158,217.853,country
Tip It On Back,2013-03-23,Dierks Bentley,66,16,Home,2012-01-01,49,False,29538,124133,206.52,country
As Your Friend,2013-03-23,Afrojack,88,3,Cock Cakes,2012-06-01,4,True,47808,179236,147.051,edm
Skyfall,2013-03-16,Adele,8,20,Skyfall,2012-10-04,87,False,1083191,10579318,286.48,soft pop
Swimming Pools (Drank),2013-03-16,Kendrick Lamar,17,29,Swimming Pools (Drank),2012-01-01,85,True,1184635,10967899,247.8,hip hop
The A Team,2013-03-09,Ed Sheeran,16,33,+,2011-09-09,78,False,1025898,8899603,258.373,soft pop
Goodbye In Her Eyes,2013-03-09,Zac Brown Band,48,20,Uncaged,2012-07-06,63,False,58073,315998,324.266,country
How Country Feels,2013-03-02,Randy Houser,42,20,How Country Feels,2013-01-22,73,False,81924,508640,185.906,country
